type,year,citation
conference,2026,"Uzun, Y., Gauthier, A. M., & Cukurova, M. (2026). What Students Ask, How a Generative AI Assistant Responds: Exploring Higher Education Students' Dialogues on Learning Analytics Feedback. <em>arXiv</em>. <a href=""https://doi.org/10.48550/arxiv.2601.04919"" target=""_blank"" rel=""noopener"">doi:10.48550/arxiv.2601.04919</a>"
conference,2026,"Cukurova, M., Suraworachet, W., Zhou, Q., & Bulathwela, S. (2026). Towards Synergistic Teacher–AI Interactions with Generative Artificial Intelligence.  <a href=""https://doi.org/10.1007/978-3-032-24819-0_8"" target=""_blank"" rel=""noopener"">doi:10.1007/978-3-032-24819-0_8</a>"
journal,2026,"Bozkurt, A., Crompton, H., Farrow, R., Kukulska-Hulme, A., Dron, J., West, R., Palalas, A., Bower, M., Xiao, J., Tlili, A., et al. (2026). Redefining Educational Technology: A Critical Collaborative Inquiry. <em>Open Praxis, 18</em>(2), 192–211. <a href=""https://doi.org/10.55982/openpraxis.18.2.1117"" target=""_blank"" rel=""noopener"">doi:10.55982/openpraxis.18.2.1117</a>"
journal,2026,"Hooshyar, D., Yang, Y., Šír, G., Kärkkäinen, T., Hämäläinen, R., Cukurova, M., & Azevedo, R. (2026). Why Large Language Models Alone Fall Short for Responsible Learner Modeling in K–12 Tutoring: A Case Study. <em>IEEE Access, 14</em>, 91267–91284. <a href=""https://doi.org/10.1109/access.2026.3701047"" target=""_blank"" rel=""noopener"">doi:10.1109/access.2026.3701047</a>"
conference,2026,"Cukurova, M. (2026). A Conceptual Framework for Teacher Agency in STEM Education in the AI Era. <em>Maarif global education series</em>, 31–57. <a href=""https://doi.org/10.1007/978-981-95-9023-0_2"" target=""_blank"" rel=""noopener"">doi:10.1007/978-981-95-9023-0_2</a>"
journal,2025,"Lewin, C., Cukurova, M., Mavrikis, M., Outhwaite, L. A., Major, L., & Rubegni, E. (2025). BJET editorial 2026: The changing landscape of EdTech and AI scholarship. <em>British Journal of Educational Technology, 57</em>(1), 5–8. <a href=""https://doi.org/10.1111/bjet.70039"" target=""_blank"" rel=""noopener"">doi:10.1111/bjet.70039</a>"
conference,2025,"Hooshyar, D., Yang, Y., Šíř, G., Kärkkäinen, T., Hämäläinen, R., Cukurova, M., & Azevedo, R. (2025). Problems With Large Language Models for Learner Modelling: Why LLMs Alone Fall Short for Responsible Tutoring in K--12 Education. <em>arXiv</em>. <a href=""https://doi.org/10.48550/arxiv.2512.23036"" target=""_blank"" rel=""noopener"">doi:10.48550/arxiv.2512.23036</a>"
journal,2025,"Azad, A., Kovanović, V., Korolkiewicz, M., Zamecnik, A., Joksimovíc, S., & Cukurova, M. (2025). An unobtrusive approach to modelling team cohesion and collaboration in ecological classroom settings. <em>Learning and Instruction, 101</em>, 102268–102268. <a href=""https://doi.org/10.1016/j.learninstruc.2025.102268"" target=""_blank"" rel=""noopener"">doi:10.1016/j.learninstruc.2025.102268</a>"
conference,2025,"Du, Y., Borchers, C., & Cukurova, M. (2025). Benchmarking Educational LLMs with Analytics: A Case Study on Gender Bias in Feedback. <em>arXiv</em>. <a href=""https://doi.org/10.48550/arxiv.2511.08225"" target=""_blank"" rel=""noopener"">doi:10.48550/arxiv.2511.08225</a>"
journal,2025,"Khulbe, M., Tammets, K., Ley, T., Coelho, R., Kurvits, J., & Cukurova, M. (2025). Exploring Teachers’ Adoption of Learning Analytics Enhanced Pedagogical Practices: A Longitudinal Intervention Study. <em>Technology Knowledge and Learning, 30</em>(4), 2011–2033. <a href=""https://doi.org/10.1007/s10758-025-09896-w"" target=""_blank"" rel=""noopener"">doi:10.1007/s10758-025-09896-w</a>"
journal,2025,"Suraworachet, W., Zhou, Q., & Cukurova, M. (2025). University Students' Perceptions of a Multimodal AI System for Real-World Collaboration Analytics: Lessons Learned From a Case Study. <em>Journal of Computer Assisted Learning, 41</em>(5). <a href=""https://doi.org/10.1111/jcal.70103"" target=""_blank"" rel=""noopener"">doi:10.1111/jcal.70103</a>"
journal,2025,"Lei, T., Cukurova, M., & Song, Y. (2025). Learning analytics in immersive virtual learning environments: a systematic literature review. <em>Smart Learning Environments, 12</em>(1). <a href=""https://doi.org/10.1186/s40561-025-00381-6"" target=""_blank"" rel=""noopener"">doi:10.1186/s40561-025-00381-6</a>"
conference,2025,"Wong, K., Bulathwela, S., & Cukurova, M. (2025). Explainable Collaborative Problem Solving Diagnosis with BERT using SHAP and its Implications for Teacher Adoption. <em>arXiv</em>."
conference,2025,"Wong, K., Bulathwela, S., & Cukurova, M. (2025). Exploring Human-AI Complementarity in CPS Diagnosis Using Unimodal and Multimodal BERT Models. <em>arXiv</em>."
journal,2025,"Ursavaş, Ö. F., Yalçın, Y., İslamoğlu, H., Bakır-Yalçın, E., & Cukurova, M. (2025). Rethinking the importance of social norms in generative AI adoption: investigating the acceptance and use of generative AI among higher education students. <em>International Journal of Educational Technology in Higher Education, 22</em>(1). <a href=""https://doi.org/10.1186/s41239-025-00535-z"" target=""_blank"" rel=""noopener"">doi:10.1186/s41239-025-00535-z</a>"
journal,2025,"Feldman-Maggor, Y., Cukurova, M., Kent, C., & Alexandron, G. (2025). The Impact of Explainable AI on Teachers’ Trust and Acceptance of AI EdTech Recommendations: The Power of Domain-specific Explanations. <em>International Journal of Artificial Intelligence in Education, 35</em>(5), 2889–2922. <a href=""https://doi.org/10.1007/s40593-025-00486-6"" target=""_blank"" rel=""noopener"">doi:10.1007/s40593-025-00486-6</a>"
conference,2025,"Audrey, Z., Yifei, G., Suraworachet, W., Nazaretsky, T., & Cukurova, M. (2025). Evaluating Trust in AI, Human, and Co-produced Feedback Among Undergraduate Students. <em>arXiv</em>. <a href=""https://doi.org/10.48550/arxiv.2504.10961"" target=""_blank"" rel=""noopener"">doi:10.48550/arxiv.2504.10961</a>"
journal,2025,"Uzun, Y., Suraworachet, W., Zhou, Q., Gauthier, A., & Cukurova, M. (2025). Engagement with analytics feedback and its relationship to self-regulated learning competence and course performance. <em>International Journal of Educational Technology in Higher Education, 22</em>(1). <a href=""https://doi.org/10.1186/s41239-025-00515-3"" target=""_blank"" rel=""noopener"">doi:10.1186/s41239-025-00515-3</a>"
journal,2025,"Mavrikis, M., Lewin, C., Cukurova, M., Major, L., Outhwaite, L. A., & Rubegni, E. (2025). BJET Editorial Spring 2025: Reporting on AIED research and ethical considerations. <em>British Journal of Educational Technology, 56</em>(3), 1118–1121. <a href=""https://doi.org/10.1111/bjet.13581"" target=""_blank"" rel=""noopener"">doi:10.1111/bjet.13581</a>"
journal,2025,"Giannakos, M. N., Horn, M., & Cukurova, M. (2025). Learning, design and technology in the age of AI. <em>Behaviour and Information Technology, 44</em>(5), 883–887. <a href=""https://doi.org/10.1080/0144929x.2025.2469394"" target=""_blank"" rel=""noopener"">doi:10.1080/0144929x.2025.2469394</a>"
journal,2025,"Xiao, J., Bozkurt, A., Nichols, M., Pazurek, A., Stracke, C. M., Bai, J. Y. H., Farrow, R., Mulligan, D., Nerantzi, C., Sharma, R. C., et al. (2025). Venturing into the Unknown: Critical Insights into Grey Areas and Pioneering Future Directions in Educational Generative AI Research. <em>TechTrends, 69</em>(3), 582–597. <a href=""https://doi.org/10.1007/s11528-025-01060-6"" target=""_blank"" rel=""noopener"">doi:10.1007/s11528-025-01060-6</a>"
journal,2025,"Villa-Torrano, C., Suraworachet, W., Gómez‐Sánchez, E., Asensio‐Pérez, J. I., Bote‐Lorenzo, M. L., Martínez‐Monés, A., Zhou, Q., Cukurova, M., & Dimitriadis, Y. (2025). Using learning design and learning analytics to promote, detect and support Socially-Shared Regulation of Learning: A systematic literature review. <em>Computers &amp; Education, 232</em>, 105261–105261. <a href=""https://doi.org/10.1016/j.compedu.2025.105261"" target=""_blank"" rel=""noopener"">doi:10.1016/j.compedu.2025.105261</a>"
