date,venue,category,title,body,link_url,link_text,image
Feb-20,Online,video,Keynote @ AMLD Intelligence Summit,Watch the keynote: <em>AI and Education: The need for a system change.</em>,,,
May-22,Online,webinar,Webminar: SNOLA,"Watch the webinar: <a href=""https://snola.es/2022/05/03/webinar-multimodal-learning-analytics-in-real-world-practice-a-bridge-too-far-mutlu-cukurova/"" target=""_blank"" rel=""noopener""><em>Multimodal Learning Analytics in Real-world Practice: A Bridge Too Far?</em></a>",,,
Sep-22,"UCL Knowledge Lab, London, UK",visitor,Visitor: Michail Giannakos,"<a href=""https://www.ntnu.edu/employees/michailg"" target=""_blank"" rel=""noopener"">Prof. Michail Giannakos</a> is visiting the lab in September 2022. He will lead a lab seminar on MMLA for the faculty, and give a research seminar for the PhD team on <em>""Experimental Studies in Learning Technology and Child–Computer Interaction.""</em>",,,
Oct-22,Online,podcast,SoLAR Spotlight,New podcast on <strong>Multimodal Learning Analytics (MMLA)</strong> for the latest episode of The Society for Learning Analytics Research spotlight.,https://soundcloud.com/user-916492194/episode-18-explainable-models-for-learning-analytics,,
Oct-22,Online,webinar,Faculti Webminar,Watch the recent interview of Mutlu Cukurova discussing the potential of analytics and artificial intelligence for human learning:,https://faculti.net/process-analytics-for-education/,faculti.net/process-analytics-for-education,
Oct-22,"UCL Knowledge Lab, London, UK",award,AWS Scholarship: Qi Zhou,"Congratulations to <a href=""https://scholar.google.com/citations?user=ex9EydcAAAAJ&hl=en"" target=""_blank"" rel=""noopener"">Qi Zhou</a>, who has been awarded the prestigious Amazon Web Services (AWS) Doctoral Scholarship in Digital Innovation. Ask him about his research: <a href=""mailto:qtnvqz3@ucl.ac.uk"">qtnvqz3@ucl.ac.uk</a>.",,,
Jul-23,"Tokyo, Japan",conference,AIED 2023,"Team members Xinyuan, Daniel and Mutlu attended <a href=""https://www.aied2023.org/"" target=""_blank"" rel=""noopener"">AIED 2023</a> in Tokyo to present their papers. Check out our best full paper nominated research <a href=""https://link.springer.com/chapter/10.1007/978-3-031-36272-9_13"" target=""_blank"" rel=""noopener"">here</a>.",,,a2aabb_34a6e17079744ffda33de061f8d9cabc~mv2.avif
Jul-23,"Durham, UK",conference,AIED 2022,"Team members Qi, Wannapon, Xinyuan, Ali, Madiha and Mutlu attended <a href=""https://aied2022.webspace.durham.ac.uk/"" target=""_blank"" rel=""noopener"">AIED 2022</a> in Durham to present their papers. Check the programme <a href=""https://aied2022.webspace.durham.ac.uk/programme-overview/"" target=""_blank"" rel=""noopener"">here</a>.",,,
Sep-23,"London, UK",event,CogX,"Haifa, Yildiz and Wannapon participated in CogX, London.",,,CogX_Sep2023.jpg
Oct-23,Online,webinar,GRAILE AI,"Prof. Mutlu joined a panelist for GRAILE AI. Artificial Intelligence (AI) has been describred as being transformative for student learning, particularly the generative AI tools based on large language models that are now widely used by students. However, these tools may be de-humanising learning, encouraging students to focus on completion of tasks such as assignments or assessments, rather than supporting learning by engaging in social experiences. By addressing the question - does AI de-humanise the learning experience? - this panel will critically examine the application of AI tools for student learning. Researchers and innovators from academic and industry will put forward their views on whether and how the learning experience should be re-humanised.",https://www.youtube.com/watch?v=RvLsZxbcIjY,,
Mar-24,"Kyoto, Japan",conference,LAK 2024,"Team members Qi, Wannapon, and Mutlu attended <strong>LAK 2024</strong> in Kyoto to present their papers. Check out <a href=""https://www.youtube.com/watch?v=wqocVqinjys"" target=""_blank"" rel=""noopener"">Mutlu's keynote here</a> and our full papers <a href=""https://dl.acm.org/doi/abs/10.1145/3636555.3636905"" target=""_blank"" rel=""noopener"">here</a> &amp; <a href=""https://dl.acm.org/doi/10.1145/3636555.3636894"" target=""_blank"" rel=""noopener"">here</a>.",,,a2aabb_c60e3835d8a042aaa5f2de0f4b8763d9~mv2.avif; a2aabb_4bddfb6e72514272935dba936a1d0557~mv2.avif; a2aabb_046c06704699422d9f83fe6f1dad6fa1~mv2.avif
Sep-24,"Krems, Austria",conference,ECTEL 2024,"Team members Mutlu and Qi attended <strong>EC-TEL 2024</strong> in Krems, Austria to present their paper. Check our full paper",https://link.springer.com/chapter/10.1007/978-3-031-72312-4_3,here,
Sep-24,Hongkong,interview,EdUHK MIT,A Conversation with Professor Mutlu Cukurova on AI in Education,https://www.youtube.com/watch?v=ywsuJFfILUY,,
